student_id,last_date_engaged,days_in_row,student_type_id
258800,2022-01-07,6,1
258800,2022-01-11,2,1
258800,2022-01-16,2,1
258800,2022-01-23,2,1
258800,2022-02-23,3,1
258800,2022-02-27,3,1
258800,2022-05-27,2,1
258803,2022-01-05,5,1
258803,2022-01-11,4,1
258803,2022-07-31,4,1
258809,2022-01-02,2,0
258818,2022-01-07,5,1
258818,2022-01-14,5,1
258818,2022-01-21,5,1
258818,2022-01-29,7,1
258818,2022-02-01,2,1
258818,2022-02-18,10,1
258818,2022-03-04,2,1
258818,2022-03-09,3,1
258818,2022-03-13,3,1
258818,2022-03-18,4,1
258818,2022-03-24,5,1
258818,2022-04-01,4,1
258818,2022-04-07,2,1
258818,2022-04-30,3,1
258818,2022-05-12,3,1
258818,2022-06-04,2,1
258818,2022-07-27,2,1
258818,2022-09-16,3,1
258822,2022-01-10,2,1
258822,2022-01-16,5,1
258822,2022-01-20,3,1
258832,2022-01-06,2,0
258832,2022-03-01,2,0
258832,2022-03-22,2,1
258841,2022-01-02,2,0
258845,2022-01-10,3,0
258845,2022-01-14,2,0
258845,2022-01-18,2,0
258845,2022-08-18,5,0
258862,2022-01-03,3,1
258862,2022-01-20,3,1
258862,2022-08-28,6,1
258862,2022-09-09,4,1
258865,2022-01-03,3,1
258865,2022-01-06,2,1
258865,2022-01-12,2,1
258876,2022-01-03,3,0
258876,2022-01-13,2,0
258880,2022-01-08,2,0
258883,2022-01-05,2,1
258902,2022-01-02,2,0
258904,2022-01-03,3,0
258904,2022-01-10,2,0
258906,2022-01-08,2,0
258906,2022-01-16,2,0
258908,2022-01-03,3,1
258908,2022-01-12,2,1
258908,2022-01-18,2,1
258912,2022-01-09,3,0
258913,2022-01-05,4,0
258913,2022-02-12,2,1
258913,2022-03-11,4,1
258913,2022-03-18,2,1
258913,2022-04-11,3,1
258913,2022-04-21,3,1
258913,2022-05-19,3,1
258913,2022-07-16,12,1
258913,2022-07-21,2,1
258916,2022-04-14,2,1
258916,2022-08-30,2,1
258916,2022-09-17,2,1
258922,2022-01-05,4,1
258922,2022-01-10,2,1
258924,2022-02-03,2,0
258924,2022-02-06,2,0
258929,2022-03-02,2,0
258930,2022-02-23,6,1
258930,2022-08-02,2,1
258951,2022-01-27,2,0
258955,2022-01-07,6,1
258955,2022-01-14,3,1
258955,2022-01-19,2,1
258955,2022-06-08,2,1
258956,2022-05-03,3,1
258956,2022-07-15,5,1
258971,2022-01-03,2,0
258971,2022-01-12,4,1
258971,2022-01-16,3,1
258971,2022-02-06,3,1
258971,2022-02-21,2,0
258979,2022-01-03,2,0
258980,2022-01-10,2,1
258980,2022-01-13,2,1
258980,2022-02-09,3,1
258980,2022-09-22,2,1
258984,2022-01-04,3,1
258984,2022-01-08,3,1
258984,2022-01-11,2,1
258984,2022-03-31,2,1
258984,2022-06-01,2,1
258994,2022-01-03,2,0
259000,2022-01-03,2,0
259001,2022-01-03,2,0
259002,2022-01-03,2,0
259011,2022-01-05,2,0
259011,2022-01-20,8,0
259011,2022-01-23,2,0
259011,2022-01-28,2,0
259011,2022-02-06,4,0
259011,2022-03-03,3,0
259011,2022-03-19,9,0
259011,2022-04-07,2,0
259011,2022-04-22,8,0
259012,2022-01-05,3,0
259015,2022-01-10,2,0
259019,2022-08-01,2,0
259019,2022-08-04,2,0
