student_id,week_n,n_engagements,student_type_id,student_country
258798,52,1,0,IN
258800,01,5,1,CA
258800,02,5,1,CA
258800,03,2,1,CA
258800,04,1,1,CA
258800,08,6,1,CA
258800,11,1,1,CA
258800,12,1,1,CA
258800,13,2,1,CA
258800,19,1,1,CA
258800,21,2,1,CA
258800,22,1,1,CA
258800,26,1,1,CA
258800,52,1,1,CA
258803,01,5,1,US
258803,02,3,1,US
258803,05,1,1,US
258803,08,1,1,US
258803,15,1,1,US
258803,26,1,1,US
258803,30,5,1,US
258803,52,2,1,US
258804,52,1,0,BD
258807,52,1,0,US
258809,01,1,0,ID
258809,52,2,0,ID
258810,52,1,0,IN
258811,01,2,0,DZ
258811,02,1,0,DZ
258811,52,1,0,DZ
258812,52,1,0,IN
258813,52,1,0,ET
258814,04,1,0,IN
258814,52,1,0,IN
258815,52,1,0,EG
258816,52,1,0,KE
258817,52,1,0,IN
258818,01,5,1,IN
258818,02,5,1,IN
258818,03,6,1,IN
258818,04,6,1,IN
258818,05,2,1,IN
258818,06,5,1,IN
258818,07,5,1,IN
258818,08,1,1,IN
258818,09,2,1,IN
258818,10,6,1,IN
258818,11,5,1,IN
258818,12,4,1,IN
258818,13,4,1,IN
258818,14,2,1,IN
258818,17,3,1,IN
258818,19,3,1,IN
258818,22,3,1,IN
258818,23,1,1,IN
258818,24,1,1,IN
258818,30,2,1,IN
258818,33,2,1,IN
258818,37,3,1,IN
258818,38,1,1,IN
258819,52,1,0,ES
258822,01,1,1,IN
258822,02,6,1,IN
258822,03,3,1,IN
258822,04,3,1,IN
258822,05,1,1,IN
258822,52,1,0,IN
258824,52,1,0,US
258826,52,1,0,CN
258827,52,1,0,IN
258828,52,1,0,IN
258829,52,1,0,BR
258830,52,1,0,BY
258831,52,1,0,SG
258832,01,3,0,IN
258832,09,3,1,IN
258832,10,2,1,IN
258832,11,1,1,IN
258832,12,2,1,IN
258832,52,1,0,IN
258833,52,1,0,IN
258834,52,1,0,GB
258837,01,1,0,ID
258837,04,1,0,ID
258837,52,1,0,ID
258840,01,1,0,SA
258840,52,1,0,SA
258841,52,2,0,JP
258845,01,2,0,ID
258845,02,3,0,ID
258845,03,3,0,ID
258845,04,2,0,ID
258845,05,2,0,ID
258845,06,1,0,ID
258845,07,1,0,ID
258845,09,1,0,ID
258845,16,1,0,ID
258845,31,1,0,ID
258845,32,1,0,ID
258845,33,4,0,ID
258845,52,1,0,ID
258846,52,1,0,US
258848,52,1,0,RU
258849,52,1,0,IN
258851,52,1,0,HT
258852,52,1,0,SA
258855,52,1,0,GB
258857,52,1,0,AZ
258860,52,1,0,PL
258861,01,1,0,IN
258861,52,1,0,IN
258862,01,2,1,NL
258862,02,2,1,NL
258862,03,3,1,NL
258862,32,1,1,NL
258862,34,6,1,NL
258862,35,1,1,NL
258862,36,4,1,NL
258862,52,2,1,NL
258865,01,3,1,CA
258865,02,3,1,CA
258865,03,2,1,CA
258865,05,1,1,CA
258865,06,1,1,CA
258865,12,1,1,CA
258865,38,1,1,CA
258865,52,2,1,CA
258869,52,1,0,VN
258870,01,1,0,GB
258870,04,1,0,GB
258870,52,1,0,GB
258871,52,1,0,CA
258872,01,1,0,CO
258876,01,1,0,FR
258876,02,2,0,FR
258876,52,2,0,FR
258878,01,1,1,CA
258878,52,1,1,CA
