student_id,student_country,date_registered,student_type_id
258798,IN,2022-01-01,0
258799,CO,2022-01-01,0
258800,CA,2022-01-01,1
258801,IN,2022-01-01,0
258802,US,2022-01-01,0
258803,US,2022-01-01,1
258804,BD,2022-01-01,0
258805,BD,2022-01-01,0
258806,NG,2022-01-01,0
258807,US,2022-01-01,0
258808,SA,2022-01-01,0
258809,ID,2022-01-01,0
258810,IN,2022-01-01,0
258811,DZ,2022-01-01,0
258812,IN,2022-01-01,0
258813,ET,2022-01-01,0
258814,IN,2022-01-01,0
258815,EG,2022-01-01,0
258816,KE,2022-01-01,0
258817,IN,2022-01-01,0
258818,IN,2022-01-01,1
258819,ES,2022-01-01,0
258820,IN,2022-01-01,0
258822,IN,2022-01-01,1
258823,BD,2022-01-01,0
258824,US,2022-01-01,0
258825,IN,2022-01-01,0
258826,CN,2022-01-01,0
258827,IN,2022-01-01,0
258828,IN,2022-01-01,0
258829,BR,2022-01-01,0
258830,BY,2022-01-01,0
258831,SG,2022-01-01,0
258832,IN,2022-01-01,1
258833,IN,2022-01-01,0
258834,GB,2022-01-01,0
258835,CM,2022-01-01,0
258836,PK,2022-01-01,0
258837,ID,2022-01-01,0
258838,PK,2022-01-01,0
258839,EG,2022-01-01,0
258840,SA,2022-01-01,0
258841,JP,2022-01-01,0
258842,PK,2022-01-01,0
258843,US,2022-01-01,0
258844,EG,2022-01-01,0
258845,ID,2022-01-01,0
258846,US,2022-01-01,0
258847,IN,2022-01-01,0
258848,RU,2022-01-01,0
258849,IN,2022-01-01,0
258850,CA,2022-01-01,0
258851,HT,2022-01-01,0
258852,SA,2022-01-01,0
258853,US,2022-01-01,0
258854,NG,2022-01-01,0
258855,GB,2022-01-01,0
258857,AZ,2022-01-01,0
258858,MA,2022-01-01,0
258859,SA,2022-01-01,0
258860,PL,2022-01-01,0
258861,IN,2022-01-01,0
258862,NL,2022-01-01,1
258864,DE,2022-01-01,0
258865,CA,2022-01-01,1
258866,IN,2022-01-01,0
258867,TN,2022-01-01,0
258868,DZ,2022-01-01,0
258869,VN,2022-01-01,0
258870,GB,2022-01-01,0
258871,CA,2022-01-01,0
258872,CO,2022-01-01,0
258873,EG,2022-01-01,0
258874,PT,2022-01-01,0
258875,SA,2022-01-01,0
258876,FR,2022-01-01,0
258877,EG,2022-01-01,0
258878,CA,2022-01-01,1
258879,LY,2022-01-01,0
258880,RU,2022-01-01,0
258881,EG,2022-01-01,0
258882,US,2022-01-01,0
258883,US,2022-01-01,1
258884,EG,2022-01-01,0
258885,MD,2022-01-01,0
258886,SA,2022-01-01,0
258887,SA,2022-01-01,0
258888,GB,2022-01-01,0
258889,SA,2022-01-01,0
258890,RU,2022-01-01,0
258891,EG,2022-01-01,0
258892,MX,2022-01-01,0
258893,AE,2022-01-01,0
258894,US,2022-01-01,0
258895,EG,2022-01-01,0
258896,BR,2022-01-01,0
258897,AR,2022-01-01,0
258898,IN,2022-01-01,0
258899,SA,2022-01-01,0
258900,IN,2022-01-01,0
258901,SA,2022-01-01,0
258902,NG,2022-01-01,0
258903,US,2022-01-01,0
258904,SA,2022-01-01,0
