student_id,course_id,minutes_watched,date_watched,student_type_id
258798,23,0.3,2022-01-01,0
258800,2,12.9,2022-04-01,1
258800,7,2.7,2022-01-02,1
258800,7,4.3,2022-01-04,1
258800,7,31.7,2022-01-07,1
258800,7,45.1,2022-01-06,1
258800,7,46.8,2022-01-03,1
258800,7,61.6,2022-01-05,1
258800,11,0.5,2022-02-21,1
258800,11,1.1,2022-02-22,1
258800,14,2.1,2022-03-14,1
258800,14,4,2022-01-28,1
258800,21,5.2,2022-01-22,1
258800,21,6.9,2022-02-23,1
258800,21,7.1,2022-01-11,1
258800,21,7.6,2022-05-12,1
258800,21,9.4,2022-01-16,1
258800,21,13.1,2022-01-13,1
258800,21,21.3,2022-01-15,1
258800,21,30.6,2022-01-23,1
258800,21,34.7,2022-01-10,1
258800,25,0.7,2022-05-26,1
258800,25,1.5,2022-05-30,1
258800,25,44,2022-05-27,1
258800,28,0.3,2022-06-28,1
258800,28,46.1,2022-03-28,1
258800,30,0.1,2022-03-25,1
258800,37,23,2022-02-27,1
258800,37,32.6,2022-02-26,1
258800,37,34.2,2022-02-25,1
258803,14,0.7,2022-01-16,1
258803,14,1.6,2022-04-17,1
258803,14,6.8,2022-02-21,1
258803,14,19.3,2022-01-10,1
258803,14,21.4,2022-01-05,1
258803,14,28.3,2022-01-09,1
258803,14,37.9,2022-01-11,1
258803,14,42.9,2022-01-04,1
258803,14,43.6,2022-01-03,1
258803,14,52.8,2022-01-08,1
258803,14,62.6,2022-01-01,1
258803,14,67.1,2022-02-01,1
258803,14,86.8,2022-01-02,1
258803,16,6.9,2022-06-27,1
258803,19,0.1,2022-07-29,1
258803,19,3.5,2022-07-28,1
258803,19,41,2022-07-31,1
258803,19,44.7,2022-07-30,1
258803,19,52,2022-07-26,1
258804,14,14.2,2022-01-01,0
258807,7,1.8,2022-01-01,0
258809,14,4.1,2022-01-01,0
258809,14,9.2,2022-01-02,0
258809,14,40,2022-01-04,0
258810,14,3.2,2022-01-01,0
258811,20,16.8,2022-01-04,0
258811,37,1.7,2022-01-01,0
258811,37,3.5,2022-01-13,0
258811,37,19.9,2022-01-08,0
258812,42,2.2,2022-01-01,0
258813,7,2.1,2022-01-01,0
258814,25,4.9,2022-01-01,0
258814,45,3.9,2022-01-26,0
258815,23,29,2022-01-01,0
258816,23,0.8,2022-01-01,0
258817,39,0.4,2022-01-01,0
258818,2,0.2,2022-06-01,1
258818,2,0.4,2022-06-04,1
258818,2,5.8,2022-03-07,1
258818,2,6.7,2022-02-18,1
258818,2,7.1,2022-03-03,1
258818,2,12.3,2022-03-04,1
258818,2,18,2022-02-23,1
258818,2,18.5,2022-03-11,1
258818,2,19.4,2022-03-12,1
258818,2,24,2022-03-08,1
258818,2,30.5,2022-03-09,1
258818,2,51.9,2022-06-03,1
258818,3,8.7,2022-05-12,1
258818,3,27.6,2022-05-10,1
258818,3,69.1,2022-05-11,1
258818,4,10.2,2022-03-17,1
258818,4,13.4,2022-03-24,1
258818,4,15.8,2022-03-20,1
258818,4,17,2022-03-22,1
258818,4,18.1,2022-03-21,1
258818,4,18.6,2022-03-15,1
258818,4,27.2,2022-03-16,1
258818,4,27.3,2022-03-18,1
258818,4,29.4,2022-03-30,1
258818,4,32.9,2022-03-29,1
258818,4,34.7,2022-03-13,1
258818,13,3,2022-07-27,1
258818,13,13.9,2022-07-26,1
258818,14,2,2022-02-17,1
258818,14,3.8,2022-01-31,1
258818,14,4.9,2022-02-09,1
258818,14,4.9,2022-02-13,1
258818,14,5.9,2022-01-24,1
258818,14,6.9,2022-01-29,1
258818,14,7.6,2022-02-01,1
258818,14,7.8,2022-02-16,1
258818,14,9.2,2022-01-14,1
258818,14,10.5,2022-04-07,1
258818,14,11.7,2022-01-28,1
258818,14,14.4,2022-01-12,1
258818,14,15.9,2022-02-11,1
258818,14,18.6,2022-01-20,1
258818,14,18.6,2022-01-27,1
258818,14,18.8,2022-01-18,1
258818,14,19,2022-01-13,1
258818,14,19.5,2022-01-23,1
258818,14,20.2,2022-02-10,1
258818,14,22,2022-02-12,1
258818,14,24,2022-01-25,1
258818,14,27.1,2022-01-10,1
258818,14,27.8,2022-01-26,1
258818,14,28.2,2022-01-17,1
258818,14,30.5,2022-01-19,1
258818,14,34.6,2022-01-05,1
258818,14,39.8,2022-01-21,1
258818,14,43.6,2022-01-04,1
258818,14,45,2022-01-11,1
258818,16,40,2022-01-07,1
258818,19,10.2,2022-04-30,1
258818,19,12,2022-04-29,1
258818,19,15.6,2022-04-28,1
258818,21,4.1,2022-06-19,1
258818,22,28.7,2022-03-23,1
258818,23,15.5,2022-01-06,1
258818,28,2.7,2022-08-19,1
258818,28,3,2022-09-15,1
258818,28,11.1,2022-09-16,1
258818,28,12.8,2022-09-14,1
258818,28,15.1,2022-02-14,1
258818,28,15.7,2022-02-15,1
258818,28,17.8,2022-09-19,1
258818,28,32.7,2022-08-17,1
258818,35,4.8,2022-06-12,1
258818,35,5.8,2022-04-06,1
258818,35,6.7,2022-04-01,1
258818,35,20.9,2022-03-31,1
258818,39,12.8,2022-01-03,1
258819,22,6.6,2022-01-01,0
258822,5,49.9,2022-01-09,1
258822,7,0.1,2022-01-01,0
258822,7,36,2022-01-12,1
258822,7,68.3,2022-01-10,1
258822,16,2.9,2022-01-31,1
258822,16,4.9,2022-01-29,1
258822,21,1,2022-01-19,1
258822,21,3,2022-01-15,1
258822,21,5.9,2022-01-16,1
258822,21,16.9,2022-01-24,1
258822,21,22.1,2022-01-14,1
258822,21,31.5,2022-01-13,1
258822,21,31.8,2022-01-26,1
258822,21,47.9,2022-01-20,1
258822,21,60.5,2022-01-18,1
258824,7,1.3,2022-01-01,0
258826,27,0.3,2022-01-01,0
258827,34,0.3,2022-01-01,0
258828,7,0.4,2022-01-01,0
258829,16,12.5,2022-01-02,0
258830,7,0.9,2022-01-01,0
258831,23,0.1,2022-01-01,0
258832,13,46.3,2022-03-21,1
258832,21,0.9,2022-01-01,0
258832,21,13.2,2022-01-05,0
258832,21,14.4,2022-01-06,0
258832,21,42.3,2022-01-09,0
258832,23,3.6,2022-03-13,1
258832,23,36.2,2022-03-18,1
258832,23,70.4,2022-03-06,1
258832,23,71,2022-03-11,1
258832,39,0.1,2022-03-01,0
258832,39,0.3,2022-02-28,0
258833,7,1.3,2022-01-01,0
258834,7,21.9,2022-01-01,0
258837,15,1,2022-01-29,0
258837,15,4.2,2022-01-08,0
258837,15,30.5,2022-01-02,0
258840,7,1.2,2022-01-01,0
258840,7,40.9,2022-01-04,0
258841,45,0.2,2022-01-01,0
258841,45,0.4,2022-01-02,0
258845,3,24.6,2022-01-28,0
258845,3,29.2,2022-02-01,0
258845,3,39.2,2022-01-26,0
258845,3,40,2022-02-04,0
258845,3,42.1,2022-02-12,0
258845,3,81.1,2022-08-18,0
258845,3,176.3,2022-08-17,0
258845,3,474.6,2022-08-16,0
258845,5,31.4,2022-02-15,0
258845,5,226.1,2022-08-15,0
258845,7,1.2,2022-01-01,0
258845,7,14.5,2022-01-09,0
258845,7,48.4,2022-01-08,0
258845,11,11.8,2022-04-23,0
258845,11,19.5,2022-03-02,0
258845,11,36.4,2022-08-06,0
258845,14,16.7,2022-01-14,0
258845,14,24.6,2022-01-18,0
258845,14,27.3,2022-01-13,0
258845,14,30,2022-01-17,0
258845,21,32.7,2022-01-10,0
258845,21,105.6,2022-08-14,0
258845,35,22.9,2022-01-21,0
258846,25,6.9,2022-01-01,0
258848,32,0.1,2022-01-01,0
258849,7,12,2022-01-01,0
258851,7,6.6,2022-01-01,0
258852,7,0.1,2022-01-01,0
258855,7,0.2,2022-01-01,0
258857,21,0.8,2022-01-01,0
258860,7,12.2,2022-01-01,0
258861,20,3,2022-01-04,0
258861,20,18.6,2022-01-01,0
258862,7,40.5,2022-01-01,1
258862,7,67.6,2022-01-02,1
258862,21,1.3,2022-08-26,1
258862,21,7.4,2022-01-20,1
258862,21,14.8,2022-01-18,1
258862,21,20.1,2022-01-13,1
258862,21,20.4,2022-01-03,1
258862,21,21.1,2022-01-19,1
258862,21,26.7,2022-08-27,1
258862,21,31,2022-01-07,1
258862,21,38.9,2022-08-25,1
258862,21,39,2022-08-24,1
258862,21,43.8,2022-01-15,1
258862,21,46.2,2022-08-23,1
258862,24,10.8,2022-08-30,1
258862,24,13.6,2022-09-07,1
258862,24,21.7,2022-08-08,1
258862,24,29.5,2022-08-28,1
258862,24,40.7,2022-09-09,1
258862,24,45.9,2022-09-08,1
258862,24,58.5,2022-09-06,1
258865,7,10.1,2022-01-03,1
258865,7,12.6,2022-01-15,1
258865,7,23.7,2022-01-12,1
258865,7,32.6,2022-01-02,1
258865,7,33,2022-01-06,1
258865,7,34.2,2022-01-11,1
258865,7,41.8,2022-01-05,1
258865,7,67.5,2022-01-01,1
258865,21,0.1,2022-03-25,1
258865,21,3.3,2022-02-07,1
258865,21,9.7,2022-01-22,1
258865,21,20.2,2022-01-20,1
258865,21,25.7,2022-02-01,1
